Year,Month,Day,DJIAPercentChange
1996,2,8,0.863057847
1996,2,9,0.037909559
1996,2,12,1.05745633
1996,2,13,0.017856505
1996,2,14,-0.38563165
1996,2,15,-0.505412574
1996,2,16,-0.866448103
1996,2,20,-0.81405702
1996,2,21,1.05340295
1996,2,22,1.676939811
1996,2,23,0.392261746
1996,2,26,-1.161530948
1996,2,27,-0.285709152
1996,2,28,-0.77488647
1996,2,29,-0.374123715
1996,3,1,0.929706869
1996,3,4,1.148719431
1996,3,5,0.753544516
1996,3,6,-0.22330923
1996,3,7,0.211375182
1996,3,8,-2.535276511
1996,3,11,2.019925053
1996,3,12,0.051962014
1996,3,13,-0.272211179
1996,3,14,0.312460718
1996,3,15,-0.019691735
1996,3,18,1.765443151
1996,3,19,-0.248082201
1996,3,20,-0.24869918
1996,3,21,-0.503943134
1996,3,22,0.172386216
1996,3,25,0.129510698
1996,3,26,0.473077128
1996,3,27,-0.770641555
1996,3,28,0.071087099
1996,3,29,-0.777850788
1996,4,1,0.905657676
1996,4,2,0.603082817
1996,4,3,0.317365164
1996,4,4,-0.11951421
1996,4,8,-0.538695397
1996,4,9,-0.607750608
1996,4,10,-1.338033235
1996,4,11,0.020051039
1996,4,12,0.82921762
1996,4,15,1.089903481
1996,4,16,0.484542903
1996,4,17,-1.247330961
1996,4,18,0.032433017
1996,4,19,-0.291802511
1996,4,22,0.52750429
1996,4,23,0.429493054
1996,4,24,-0.620906846
1996,4,25,0.234069753
1996,4,26,0.019759651
1996,4,29,0.096982759
1996,4,30,-0.077152187
1996,5,1,0.109532959
1996,5,2,-1.379322715
1996,5,3,-0.369205027
1996,5,6,-0.250091274
1996,5,7,-0.792416229
1996,5,8,0.979524073
1996,5,9,0.018267843
1996,5,10,0.732018985
1996,5,13,1.168880593
1996,5,14,0.754128901
1996,5,15,0.012445108
1996,5,16,0.172432183
1996,5,17,0.929885894
1996,5,20,1.077802198
1996,5,21,-0.217436682
1996,5,22,0.726949427
1996,5,23,-0.275181724
1996,5,24,0.013883827
